"county","date","medi_cal","unemployment","calfresh"
"Alameda",2014-01-01,"340 549",6.5,64394
"Alameda",2014-02-01,"349 927",6.4,63674
"Alameda",2014-03-01,"365 622",6.4,64297
"Alameda",2014-04-01,"373 571",5.5,64208
"Alameda",2014-05-01,"378 218",5.6,64582
"Alameda",2014-06-01,"381 831",5.9,64635
"Alameda",2014-07-01,"385 839",6.3,64020
"Alameda",2014-08-01,"389 814",6.1,63835
"Alameda",2014-09-01,"393 082",5.5,63346
"Alameda",2014-10-01,"396 515",5.4,63146
"Alameda",2014-11-01,"399 493",5.3,62544
"Alameda",2014-12-01,"408 267",4.9,62620
"Alameda",2015-01-01,"417 075",5.3,61869
"Alameda",2015-02-01,"418 769",5.1,60825
"Alameda",2015-03-01,"419 444",5,61063
"Alameda",2015-04-01,"422 488",4.6,61121
"Alameda",2015-05-01,"421 856",4.6,61465
"Alameda",2015-06-01,"423 922",4.9,62196
"Alameda",2015-07-01,"425 013",5.1,62663
"Alameda",2015-08-01,"429 357",4.8,62557
"Alameda",2015-09-01,"432 134",4.4,62511
"Alameda",2015-10-01,"434 830",4.5,62653
"Alameda",2015-11-01,"439 836",4.4,62107
"Alameda",2015-12-01,"443 416",4.2,61842
"Alameda",2016-01-01,"445 324",4.4,61221
"Alameda",2016-02-01,"443 372",4.4,61056
"Alameda",2016-03-01,"446 065",4.5,61189
"Alameda",2016-04-01,"441 010",4.2,61011
"Alameda",2016-05-01,"438 953",3.8,61172
"Alameda",2016-06-01,"438 222",4.5,61033
"Alameda",2016-07-01,"437 360",4.7,60323
"Alameda",2016-08-01,"437 878",4.5,60357
"Alameda",2016-09-01,"439 613",4.2,60124
"Alameda",2016-10-01,"439 407",4.3,59986
"Alameda",2016-11-01,"439 064",3.9,59482
"Alameda",2016-12-01,"441 488",3.9,59072
"Alameda",2017-01-01,"439 934",4.3,58727
"Alameda",2017-02-01,"437 440",4,57353
"Alameda",2017-03-01,"439 721",3.8,57764
"Alameda",2017-04-01,"436 888",3.5,56804
"Alameda",2017-05-01,"434 884",3.4,57144
"Alameda",2017-06-01,"434 578",3.8,57141
"Alameda",2017-07-01,"434 483",4.1,56864
"Alameda",2017-08-01,"438 030",4,57382
"Alameda",2017-09-01,"437 699",3.4,57189
"Alameda",2017-10-01,"437 114",3.3,57502
"Alameda",2017-11-01,"435 858",3.1,56882
"Alameda",2017-12-01,"438 788",3,56587
"Alameda",2018-01-01,"436 852",3.3,56497
"Alameda",2018-02-01,"435 330",3.2,55019
"Alameda",2018-03-01,"433 610",2.9,55632
"Alameda",2018-04-01,"431 826",2.7,55132
"Alameda",2018-05-01,"430 028",2.6,55154
"Alameda",2018-06-01,"428 875",3.3,55241
"Alameda",2018-07-01,"428 026",3.2,54734
"Alameda",2018-08-01,"427 256",3.1,54766
"Alameda",2018-09-01,"427 309",2.8,54088
"Alameda",2018-10-01,"426 653",2.9,54429
"Alameda",2018-11-01,"424 388",2.8,53759
"Alameda",2018-12-01,NA,2.8,53319
"Alameda",2019-01-01,NA,0.3,53529
"Alameda",2019-03-01,NA,3.3,51429
"Alameda",2019-04-01,NA,2.7,51134
"Alameda",2019-05-01,NA,2.5,51206
"Alameda",2019-06-01,NA,3.1,58481
"Alameda",2019-07-01,NA,3.3,59750
"Alameda",2019-08-01,NA,3.1,62122
"Alameda",2019-09-01,NA,2.5,63246
"Alameda",2019-10-01,NA,2.6,64496
"Alameda",2019-11-01,NA,2.6,64654
"Alameda",2019-12-01,NA,2.5,65129
"Alameda",2020-01-01,NA,3.1,65302
"Alameda",2020-02-01,NA,3,65156
"Alameda",2020-03-01,NA,3.8,66424
"Alameda",2020-04-01,NA,14.1,76979
"Alameda",2020-05-01,NA,13.5,82572
"Alameda",2020-06-01,NA,13.4,86632
"Alameda",2020-07-01,NA,12,86626
"Alameda",2020-08-01,NA,9.8,86097
"Alameda",2020-09-01,NA,9.3,85083
"Alameda",2020-10-01,NA,7.9,81670
"Alameda",2020-11-01,NA,6.7,78468
"Alameda",2020-12-01,NA,7.6,78156
"Alpine",2014-01-01,"301",7.7,109
"Alpine",2014-02-01,"312",8.5,111
"Alpine",2014-03-01,"326",8.6,118
"Alpine",2014-04-01,"332",7.7,111
"Alpine",2014-05-01,"348",10.1,111
"Alpine",2014-06-01,"357",10.2,117
"Alpine",2014-07-01,"373",8.7,114
"Alpine",2014-08-01,"374",8.5,111
"Alpine",2014-09-01,"368",7.4,114
"Alpine",2014-10-01,"370",7.5,114
"Alpine",2014-11-01,"370",7.5,106
"Alpine",2014-12-01,"374",5.8,107
"Alpine",2015-01-01,"384",6.6,107
"Alpine",2015-02-01,"385",6.8,102
"Alpine",2015-03-01,"377",7.5,99
"Alpine",2015-04-01,"358",7.2,102
"Alpine",2015-05-01,"358",8.3,101
"Alpine",2015-06-01,"356",8.8,101
"Alpine",2015-07-01,"361",8.3,101
"Alpine",2015-08-01,"362",7.4,99
"Alpine",2015-09-01,"360",7.5,98
"Alpine",2015-10-01,"362",7.9,98
"Alpine",2015-11-01,"359",6.9,100
"Alpine",2015-12-01,"354",5.6,98
"Alpine",2016-01-01,"358",5.3,99
"Alpine",2016-02-01,"357",5.1,97
"Alpine",2016-03-01,"358",5.6,97
"Alpine",2016-04-01,"362",5.7,92
"Alpine",2016-05-01,"350",8,87
"Alpine",2016-06-01,"347",7.6,91
"Alpine",2016-07-01,"352",7.5,93
"Alpine",2016-08-01,"346",7.3,89
"Alpine",2016-09-01,"336",7.3,90
"Alpine",2016-10-01,"328",7.2,88
"Alpine",2016-11-01,"339",7.2,90
"Alpine",2016-12-01,"349",4.8,90
"Alpine",2017-01-01,"347",5.4,86
"Alpine",2017-02-01,"342",5.4,85
"Alpine",2017-03-01,"340",5.5,87
"Alpine",2017-04-01,"343",4.8,84
"Alpine",2017-05-01,"329",7.5,79
"Alpine",2017-06-01,"323",8.7,79
"Alpine",2017-07-01,"316",7.8,76
"Alpine",2017-08-01,"323",7.1,78
"Alpine",2017-09-01,"330",6.6,76
"Alpine",2017-10-01,"329",6.4,79
"Alpine",2017-11-01,"332",5.8,81
"Alpine",2017-12-01,"330",4.6,77
"Alpine",2018-01-01,"327",4.9,79
"Alpine",2018-02-01,"324",4.2,79
"Alpine",2018-03-01,"323",3.9,80
"Alpine",2018-04-01,"319",3.4,76
"Alpine",2018-05-01,"319",5.1,80
"Alpine",2018-06-01,"317",6.1,78
"Alpine",2018-07-01,"320",6.3,72
"Alpine",2018-08-01,"305",5.3,69
"Alpine",2018-09-01,"308",4.9,67
"Alpine",2018-10-01,"313",5,73
"Alpine",2018-11-01,"311",3.8,72
"Alpine",2018-12-01,NA,3.3,70
"Alpine",2019-01-01,NA,4.7,70
"Alpine",2019-03-01,NA,5.1,70
"Alpine",2019-04-01,NA,4,73
"Alpine",2019-05-01,NA,6,71
"Alpine",2019-06-01,NA,7.4,78
"Alpine",2019-07-01,NA,7.2,79
"Alpine",2019-08-01,NA,5.7,79
"Alpine",2019-09-01,NA,4.6,74
"Alpine",2019-10-01,NA,5.2,72
"Alpine",2019-11-01,NA,4.7,70
"Alpine",2019-12-01,NA,3.8,74
"Alpine",2020-01-01,NA,4.6,77
"Alpine",2020-02-01,NA,5,69
"Alpine",2020-03-01,NA,7.1,72
"Alpine",2020-04-01,NA,22.1,86
"Alpine",2020-05-01,NA,22.2,92
"Alpine",2020-06-01,NA,19.6,79
"Alpine",2020-07-01,NA,14.1,73
"Alpine",2020-08-01,NA,11.2,69
"Alpine",2020-09-01,NA,10.7,66
"Alpine",2020-10-01,NA,9.7,63
"Alpine",2020-11-01,NA,7.1,60
"Alpine",2020-12-01,NA,7.3,59
"Amador",2014-01-01,"6 161",9.8,1752
"Amador",2014-02-01,"6 363",9.9,1742
"Amador",2014-03-01,"6 725",9.7,1773
"Amador",2014-04-01,"6 939",8.4,1771
"Amador",2014-05-01,"7 022",8,1791
"Amador",2014-06-01,"7 090",8.1,1790
"Amador",2014-07-01,"7 169",8.3,1770
"Amador",2014-08-01,"7 237",7.9,1760
"Amador",2014-09-01,"7 291",7.3,1740
"Amador",2014-10-01,"7 301",7.2,1727
"Amador",2014-11-01,"7 390",7.4,1710
"Amador",2014-12-01,"7 485",7.4,1721
"Amador",2015-01-01,"7 695",8,1720
"Amador",2015-02-01,"7 712",7.5,1746
"Amador",2015-03-01,"7 763",7.4,1768
"Amador",2015-04-01,"7 818",6.7,1814
"Amador",2015-05-01,"7 831",6.4,1818
"Amador",2015-06-01,"7 927",6.5,1831
"Amador",2015-07-01,"7 980",6.7,1823
"Amador",2015-08-01,"8 009",6.1,1782
"Amador",2015-09-01,"8 030",5.6,1775
"Amador",2015-10-01,"8 057",6,1780
"Amador",2015-11-01,"8 109",6.2,1754
"Amador",2015-12-01,"8 184",6.2,1774
"Amador",2016-01-01,"8 321",6.9,1782
"Amador",2016-02-01,"8 333",6.6,1697
"Amador",2016-03-01,"8 307",6.7,1830
"Amador",2016-04-01,"8 292",6,1808
"Amador",2016-05-01,"8 293",5.4,1780
"Amador",2016-06-01,"8 311",5.7,1784
"Amador",2016-07-01,"8 343",6.1,1765
"Amador",2016-08-01,"8 334",5.7,1750
"Amador",2016-09-01,"8 286",5.4,1736
"Amador",2016-10-01,"8 281",5.5,1730
"Amador",2016-11-01,"8 275",5.6,1736
"Amador",2016-12-01,"8 292",5.9,1720
"Amador",2017-01-01,"8 371",6.4,1703
"Amador",2017-02-01,"8 346",6.1,1698
"Amador",2017-03-01,"8 375",5.6,1705
"Amador",2017-04-01,"8 361",5,1673
"Amador",2017-05-01,"8 222",4.5,1667
"Amador",2017-06-01,"8 205",4.8,1653
"Amador",2017-07-01,"8 196",5,1649
"Amador",2017-08-01,"8 214",4.8,1666
"Amador",2017-09-01,"8 236",4.1,1651
"Amador",2017-10-01,"8 155",4.2,1648
"Amador",2017-11-01,"8 192",4.2,1608
"Amador",2017-12-01,"8 209",4.2,1609
"Amador",2018-01-01,"8 202",4.7,1609
"Amador",2018-02-01,"8 204",4.7,1571
"Amador",2018-03-01,"8 182",4.5,1558
"Amador",2018-04-01,"8 068",3.9,1548
"Amador",2018-05-01,"8 054",3.5,1582
"Amador",2018-06-01,"8 026",4.1,1525
"Amador",2018-07-01,"8 027",3.9,1505
"Amador",2018-08-01,"8 060",3.8,1505
"Amador",2018-09-01,"8 034",3.4,1479
